grupo,cartao_numero,acao,coluna,pessoa_id,ocorrido_em
G01,1,add,DOCUMENTATION,G01-A13,2026-04-22T17:39:47.412Z
G01,1,add,SIZE G,G01-A13,2026-04-22T17:39:47.412Z
G01,1,add,Backlog,G01-A13,2026-04-22T17:40:46.797Z
G01,1,add,NEGÓCIOS,G01-A13,2026-04-22T17:49:21.492Z
G01,1,remove,Backlog,G01-A13,2026-04-22T17:49:52.195Z
G01,1,add,BUG,G01-A13,2026-04-23T17:50:23.417Z
G01,1,add,ART.01,G01-A16,2026-04-23T17:50:41.653Z
G01,1,remove,SIZE G,G01-A15,2026-05-02T03:01:35.256Z
G01,1,add,P,G01-A15,2026-05-02T03:01:41.360Z
G01,2,add,DOCUMENTATION,G01-A14,2026-04-22T17:39:50.859Z
G01,2,add,PP,G01-A14,2026-04-22T17:42:10.048Z
G01,2,add,P,G01-A14,2026-04-22T17:42:10.048Z
G01,2,add,M,G01-A14,2026-04-22T17:42:10.048Z
G01,2,add,G,G01-A14,2026-04-22T17:42:10.048Z
G01,2,remove,PP,G01-A14,2026-04-22T17:42:12.539Z
G01,2,remove,P,G01-A14,2026-04-22T17:42:13.705Z
G01,2,remove,M,G01-A14,2026-04-22T17:42:14.788Z
G01,2,remove,G,G01-A14,2026-04-22T17:42:16.119Z
G01,2,remove,DOCUMENTATION,G01-A14,2026-04-22T17:43:20.522Z
G01,2,add,DOCUMENTATION,G01-A14,2026-04-22T17:43:40.666Z
G01,2,add,Backlog,[externo],2026-04-22T17:53:03.363Z
G01,2,add,M,[externo],2026-04-22T17:53:15.071Z
G01,2,add,ART.01,G01-A16,2026-04-23T17:54:59.295Z
G01,2,add,Doing,[externo],2026-04-27T17:04:44.691Z
G01,2,remove,Backlog,[externo],2026-04-27T17:04:44.691Z
G01,2,add,Waiting Review,[externo],2026-04-27T17:13:51.068Z
G01,2,remove,Doing,[externo],2026-04-27T17:13:51.068Z
G01,2,add,Review,G01-A15,2026-04-27T17:30:16.167Z
G01,2,remove,Waiting Review,G01-A15,2026-04-27T17:30:16.167Z
G01,2,remove,Review,G01-A15,2026-04-27T18:37:54.128Z
G01,3,add,NEGÓCIOS,G01-A14,2026-04-22T17:46:17.460Z
G01,3,add,Backlog,G01-A13,2026-04-22T18:21:37.469Z
G01,3,add,Doing,G01-A13,2026-04-23T17:24:10.264Z
G01,3,remove,Backlog,G01-A13,2026-04-23T17:24:10.264Z
G01,3,add,ART.01,G01-A16,2026-04-23T17:50:22.973Z
G01,3,add,Waiting Review,G01-A13,2026-04-23T18:31:10.920Z
G01,3,remove,Doing,G01-A13,2026-04-23T18:31:10.920Z
G01,3,add,Review,G01-A15,2026-04-23T19:36:32.472Z
G01,3,remove,Waiting Review,G01-A15,2026-04-23T19:36:32.472Z
G01,3,remove,Review,G01-A15,2026-04-24T11:59:31.516Z
G01,3,add,M,G01-A15,2026-04-24T11:59:48.289Z
G01,4,add,NEGÓCIOS,G01-A14,2026-04-22T17:47:47.819Z
G01,4,add,ART.01,G01-A16,2026-04-23T17:35:50.940Z
G01,4,add,Backlog,G01-A23,2026-04-28T13:01:06.964Z
G01,4,add,Doing,G01-A23,2026-04-28T13:01:15.512Z
G01,4,remove,Backlog,G01-A23,2026-04-28T13:01:15.512Z
G01,4,add,Waiting Review,G01-A23,2026-04-28T13:01:17.715Z
G01,4,remove,Doing,G01-A23,2026-04-28T13:01:17.715Z
G01,4,add,Review,G01-A15,2026-04-30T01:39:00.392Z
G01,4,remove,Waiting Review,G01-A15,2026-04-30T01:39:00.392Z
G01,4,remove,Review,G01-A15,2026-05-02T01:50:21.392Z
G01,4,add,M,G01-A15,2026-05-02T03:02:24.363Z
G01,5,add,DOCUMENTATION,G01-A14,2026-04-22T17:49:00.486Z
G01,5,add,M,G01-A15,2026-05-02T14:24:21.733Z
G01,5,add,Doing,G01-A15,2026-05-02T14:24:24.375Z
G01,5,add,Waiting Review,G01-A15,2026-05-04T14:25:12.301Z
G01,5,remove,Doing,G01-A15,2026-05-04T14:25:12.301Z
G01,5,add,Review,G01-A15,2026-05-04T14:25:15.348Z
G01,5,remove,Waiting Review,G01-A15,2026-05-04T14:25:15.348Z
G01,5,remove,Review,G01-A15,2026-05-04T14:25:19.756Z
G01,6,add,NEGÓCIOS,G01-A14,2026-04-22T17:51:06.838Z
G01,6,add,ART.01,G01-A16,2026-04-23T17:36:04.205Z
G01,6,add,Backlog,G01-A17,2026-04-27T17:44:22.458Z
G01,6,add,Doing,G01-A17,2026-04-27T17:44:31.994Z
G01,6,remove,Backlog,G01-A17,2026-04-27T17:44:31.994Z
G01,6,add,M,G01-A17,2026-04-27T17:44:41.953Z
G01,6,add,DOCUMENTATION,G01-A17,2026-04-27T17:44:58.614Z
G01,6,add,Waiting Review,G01-A17,2026-04-27T19:36:16.269Z
G01,6,remove,Doing,G01-A17,2026-04-27T19:36:16.269Z
G01,6,add,Review,G01-A15,2026-04-30T01:38:58.870Z
G01,6,remove,Waiting Review,G01-A15,2026-04-30T01:38:58.870Z
G01,6,remove,Review,G01-A15,2026-05-02T01:50:15.721Z
G01,7,add,NEGÓCIOS,G01-A14,2026-04-22T17:52:04.925Z
G01,7,add,ART.01,G01-A16,2026-04-23T17:53:55.192Z
G01,7,add,Doing,G01-A14,2026-04-27T17:51:40.599Z
G01,7,add,M,G01-A14,2026-04-27T18:45:14.349Z
G01,7,add,Waiting Review,G01-A14,2026-04-27T20:54:04.922Z
G01,7,remove,Doing,G01-A14,2026-04-27T20:54:04.922Z
G01,7,add,Review,G01-A15,2026-04-30T01:38:51.568Z
G01,7,remove,Waiting Review,G01-A15,2026-04-30T01:38:51.568Z
G01,7,remove,Review,G01-A15,2026-05-02T02:56:10.900Z
G01,8,add,DESIGN,G01-A14,2026-04-23T17:30:30.881Z
G01,8,add,ART.02,G01-A16,2026-04-23T17:55:50.793Z
G01,8,add,Backlog,[externo],2026-04-28T12:26:11.423Z
G01,8,remove,Backlog,[externo],2026-04-28T12:26:29.195Z
G01,8,add,Backlog,[externo],2026-04-28T13:01:32.920Z
G01,8,add,M,[externo],2026-04-28T13:01:51.242Z
G01,8,add,Doing,[externo],2026-04-28T13:01:54.257Z
G01,8,remove,Backlog,[externo],2026-04-28T13:01:54.257Z
G01,8,add,Waiting Review,[externo],2026-04-28T13:47:32.495Z
G01,8,remove,Doing,[externo],2026-04-28T13:47:32.495Z
G01,8,add,Review,G01-A15,2026-04-30T01:39:04.719Z
G01,8,remove,Waiting Review,G01-A15,2026-04-30T01:39:04.719Z
G01,8,remove,Review,G01-A12,2026-05-01T23:43:53.038Z
G01,9,add,DESIGN,G01-A14,2026-04-23T17:30:20.910Z
G01,9,add,ART.02,G01-A16,2026-04-23T17:56:09.934Z
G01,9,add,Backlog,[externo],2026-04-28T13:04:05.069Z
G01,9,add,Doing,[externo],2026-04-28T17:21:32.393Z
G01,9,remove,Backlog,[externo],2026-04-28T17:21:32.393Z
G01,9,add,G,[externo],2026-04-28T17:51:04.969Z
G01,9,add,Waiting Review,[externo],2026-04-28T18:03:38.964Z
G01,9,remove,Doing,[externo],2026-04-28T18:03:38.964Z
G01,9,add,Review,G01-A15,2026-04-30T01:39:12.364Z
G01,9,remove,Waiting Review,G01-A15,2026-04-30T01:39:12.364Z
G01,9,remove,Review,G01-A12,2026-05-01T23:43:50.726Z
G01,10,add,DESIGN,G01-A14,2026-04-23T17:30:09.863Z
G01,10,add,ART.02,G01-A16,2026-04-23T17:56:20.575Z
G01,10,add,Backlog,G01-A15,2026-04-28T13:06:39.057Z
G01,10,add,Doing,G01-A12,2026-05-01T23:43:41.401Z
G01,10,remove,Backlog,G01-A12,2026-05-01T23:43:41.401Z
G01,10,add,Waiting Review,G01-A12,2026-05-01T23:43:43.866Z
G01,10,remove,Doing,G01-A12,2026-05-01T23:43:43.866Z
G01,10,add,Review,G01-A12,2026-05-01T23:43:47.111Z
G01,10,remove,Waiting Review,G01-A12,2026-05-01T23:43:47.111Z
G01,10,remove,Review,G01-A12,2026-05-01T23:43:49.448Z
G01,10,add,M,G01-A14,2026-05-02T03:02:08.944Z
G01,11,add,DESIGN,G01-A14,2026-04-23T17:29:13.243Z
G01,11,remove,DESIGN,G01-A14,2026-04-23T17:29:23.824Z
G01,11,add,CODE,G01-A14,2026-04-23T17:29:38.839Z
G01,11,add,ART.03,G01-A16,2026-04-23T17:56:48.766Z
G01,11,add,Backlog,G01-A16,2026-04-28T13:04:07.997Z
G01,11,add,Doing,G01-A15,2026-04-28T17:01:54.634Z
G01,11,remove,Backlog,G01-A15,2026-04-28T17:01:54.634Z
G01,11,add,Waiting Review,G01-A15,2026-04-29T18:12:22.617Z
G01,11,remove,Doing,G01-A15,2026-04-29T18:12:22.617Z
G01,11,add,Review,G01-A12,2026-05-01T19:42:07.615Z
G01,11,remove,Waiting Review,G01-A12,2026-05-01T19:42:07.615Z
G01,11,remove,Review,G01-A12,2026-05-01T23:43:03.393Z
G01,11,add,M,G01-A15,2026-05-02T03:00:41.806Z
G01,12,add,CODE,G01-A14,2026-04-23T17:29:03.168Z
G01,12,add,ART.03,G01-A16,2026-04-23T17:56:58.215Z
G01,12,add,Backlog,G01-A17,2026-04-28T13:06:42.386Z
G01,12,add,Doing,G01-A17,2026-04-28T17:01:28.566Z
G01,12,remove,Backlog,G01-A17,2026-04-28T17:01:28.566Z
G01,12,add,M,G01-A17,2026-04-28T17:01:37.398Z
G01,12,add,Waiting Review,G01-A17,2026-04-28T18:49:51.599Z
G01,12,remove,Doing,G01-A17,2026-04-28T18:49:51.599Z
G01,12,add,Review,G01-A15,2026-04-30T01:40:14.603Z
G01,12,remove,Waiting Review,G01-A15,2026-04-30T01:40:14.603Z
G01,12,remove,Review,G01-A15,2026-05-02T01:50:20.729Z
G01,13,add,CODE,G01-A14,2026-04-23T17:31:31.306Z
G01,13,add,ART.03,G01-A16,2026-04-23T17:57:10.089Z
G01,13,add,Backlog,G01-A16,2026-04-28T13:04:45.277Z
G01,13,add,Doing,G01-A16,2026-04-28T18:22:01.867Z
G01,13,remove,Backlog,G01-A16,2026-04-28T18:22:01.867Z
G01,13,add,Waiting Review,G01-A16,2026-04-28T18:56:26.922Z
G01,13,remove,Doing,G01-A16,2026-04-28T18:56:26.922Z
G01,13,add,Review,G01-A15,2026-04-30T01:39:13.976Z
G01,13,remove,Waiting Review,G01-A15,2026-04-30T01:39:13.976Z
G01,13,remove,Review,G01-A12,2026-05-01T23:43:05.271Z
G01,13,add,M,G01-A14,2026-05-02T03:01:56.208Z
G01,14,add,CODE,G01-A14,2026-04-23T17:33:09.185Z
G01,14,add,ART.03,G01-A16,2026-04-23T17:57:20.768Z
G01,14,add,Backlog,G01-A13,2026-04-28T13:07:19.576Z
G01,14,add,Doing,G01-A13,2026-04-28T17:45:43.931Z
G01,14,remove,Backlog,G01-A13,2026-04-28T17:45:43.931Z
G01,14,add,Waiting Review,G01-A13,2026-04-30T11:14:42.858Z
G01,14,remove,Doing,G01-A13,2026-04-30T11:14:42.858Z
G01,14,add,Review,G01-A12,2026-05-01T19:42:25.822Z
G01,14,remove,Waiting Review,G01-A12,2026-05-01T19:42:25.822Z
G01,14,remove,Review,G01-A12,2026-05-01T23:42:50.782Z
G01,14,add,M,G01-A14,2026-05-02T03:01:37.705Z
G01,15,add,Doing,G01-A23,2026-04-23T17:34:00.489Z
G01,15,add,P,G01-A23,2026-04-23T17:34:38.798Z
G01,15,add,NEGÓCIOS,G01-A23,2026-04-23T17:34:38.798Z
G01,15,add,ART.01,G01-A16,2026-04-23T17:35:29.872Z
G01,15,remove,NEGÓCIOS,G01-A16,2026-04-23T17:35:29.872Z
G01,15,remove,P,G01-A16,2026-04-23T17:35:29.872Z
G01,15,add,Waiting Review,G01-A23,2026-04-23T17:36:58.279Z
G01,15,remove,Doing,G01-A23,2026-04-23T17:36:58.279Z
G01,15,add,P,G01-A23,2026-04-23T18:40:45.818Z
G01,15,add,NEGÓCIOS,G01-A23,2026-04-23T18:40:45.818Z
G01,15,add,Review,G01-A15,2026-04-23T18:41:49.907Z
G01,15,remove,Waiting Review,G01-A15,2026-04-23T18:41:49.907Z
G01,15,remove,Review,G01-A15,2026-04-23T19:36:35.217Z
G01,16,add,CODE,G01-A14,2026-04-23T17:34:44.623Z
G01,16,add,ART.03,G01-A16,2026-04-23T17:57:30.324Z
G01,16,add,Backlog,G01-A14,2026-04-28T13:04:45.196Z
G01,16,add,Doing,G01-A14,2026-04-28T16:57:58.152Z
G01,16,remove,Backlog,G01-A14,2026-04-28T16:57:58.152Z
G01,16,add,M,G01-A14,2026-04-28T17:04:25.033Z
G01,16,add,Waiting Review,G01-A14,2026-04-29T11:37:13.104Z
G01,16,remove,Doing,G01-A14,2026-04-29T11:37:13.104Z
G01,16,add,Review,G01-A15,2026-04-30T01:39:08.669Z
G01,16,remove,Waiting Review,G01-A15,2026-04-30T01:39:08.669Z
G01,16,remove,Review,G01-A12,2026-05-01T23:43:51.825Z
G01,17,add,DOCUMENTATION,G01-A15,2026-04-23T18:36:03.027Z
G01,17,add,M,G01-A15,2026-04-23T18:36:19.755Z
G01,17,add,Doing,G01-A15,2026-04-23T18:37:49.171Z
G01,17,remove,DOCUMENTATION,G01-A15,2026-04-23T18:38:31.125Z
G01,17,add,DESIGN,G01-A15,2026-04-23T18:38:49.797Z
G01,17,add,Waiting Review,G01-A15,2026-04-23T19:36:23.642Z
G01,17,remove,Doing,G01-A15,2026-04-23T19:36:23.642Z
G01,17,add,ART.01,G01-A16,2026-04-24T12:01:44.854Z
G01,17,add,Review,G01-A12,2026-04-27T17:49:57.045Z
G01,17,remove,Waiting Review,G01-A12,2026-04-27T17:49:57.045Z
G01,17,remove,Review,G01-A14,2026-04-28T00:54:37.553Z
G01,18,add,NEGÓCIOS,G01-A14,2026-04-24T02:43:31.825Z
G01,18,add,ART.01,G01-A14,2026-04-24T02:43:31.825Z
G01,18,add,Doing,G01-A14,2026-04-28T01:21:15.232Z
G01,18,add,Waiting Review,G01-A14,2026-04-28T17:45:09.022Z
G01,18,remove,Doing,G01-A14,2026-04-28T17:45:09.022Z
G01,18,add,M,G01-A14,2026-04-28T17:45:21.526Z
G01,18,add,Review,G01-A15,2026-04-30T01:39:02.156Z
G01,18,remove,Waiting Review,G01-A15,2026-04-30T01:39:02.156Z
G01,18,remove,Review,G01-A15,2026-05-02T01:50:19.431Z
G01,19,add,DESIGN,G01-A14,2026-04-27T17:10:38.304Z
G01,19,add,CODE,G01-A14,2026-04-27T17:10:38.304Z
G01,19,add,Doing,G01-A14,2026-04-27T17:11:20.704Z
G01,19,add,Waiting Review,G01-A14,2026-04-27T17:41:36.994Z
G01,19,remove,Doing,G01-A14,2026-04-27T17:41:36.994Z
G01,19,add,P,G01-A14,2026-04-27T17:44:11.683Z
G01,19,add,Review,G01-A15,2026-04-30T01:39:03.329Z
G01,19,remove,Waiting Review,G01-A15,2026-04-30T01:39:03.329Z
G01,19,remove,Review,G01-A15,2026-05-02T01:50:16.562Z
G01,20,add,DOCUMENTATION,G01-A15,2026-04-27T17:18:29.989Z
G01,20,add,M,G01-A15,2026-04-27T17:18:29.989Z
G01,20,add,Doing,G01-A15,2026-04-27T17:18:45.301Z
G01,20,add,Waiting Review,G01-A15,2026-04-27T18:37:46.748Z
G01,20,remove,Doing,G01-A15,2026-04-27T18:37:46.748Z
G01,20,add,Review,G01-A14,2026-04-28T16:52:47.112Z
G01,20,remove,Waiting Review,G01-A14,2026-04-28T16:52:47.112Z
G01,20,remove,Review,G01-A14,2026-04-29T11:37:28.172Z
G01,20,add,ART.01,G01-A15,2026-04-30T01:39:57.938Z
G01,21,add,DOCUMENTATION,G01-A12,2026-04-27T17:19:28.699Z
G01,21,add,DESIGN,G01-A12,2026-04-27T17:19:28.699Z
G01,21,add,NEGÓCIOS,G01-A12,2026-04-27T17:19:28.699Z
G01,21,add,ART.01,G01-A12,2026-04-27T17:19:28.699Z
G01,21,add,M,G01-A12,2026-04-27T17:19:46.315Z
G01,21,add,Backlog,G01-A12,2026-04-27T17:20:12.133Z
G01,21,add,Doing,G01-A12,2026-04-27T17:20:14.638Z
G01,21,remove,Backlog,G01-A12,2026-04-27T17:20:14.638Z
