grupo,pessoa_id,papel,situacao
G01,G01-A01,owner,active
G01,G01-A02,maintainer,active
G01,G01-A03,maintainer,active
G01,G01-A04,maintainer,active
G01,G01-A05,maintainer,active
G01,G01-A06,owner,active
G01,G01-A07,reporter,active
G01,G01-A08,maintainer,active
G01,G01-A09,maintainer,active
G01,G01-A10,reporter,active
G01,G01-A11,maintainer,active
G01,G01-A12,maintainer,active
G01,G01-A13,maintainer,active
G01,G01-A14,maintainer,active
G01,G01-A15,maintainer,active
G01,G01-A16,maintainer,active
G01,G01-A17,maintainer,active
G01,G01-A18,maintainer,active
G01,G01-A19,maintainer,active
G01,G01-A20,maintainer,active
G01,G01-A21,maintainer,active
G01,G01-A22,reporter,active
G01,G01-A23,maintainer,active
G01,G01-A24,maintainer,active
G01,G01-A25,reporter,active
G01,G01-A26,guest,active
G01,G01-A27,maintainer,active
G01,G01-A28,maintainer,active
G01,G01-A29,maintainer,active
G02,G02-A01,owner,active
G02,G02-A02,maintainer,active
G02,G02-A03,maintainer,active
G02,G02-A04,maintainer,active
G02,G02-A05,maintainer,active
G02,G02-A06,owner,active
G02,G02-A07,reporter,active
G02,G02-A08,maintainer,active
G02,G02-A09,maintainer,active
G02,G02-A10,reporter,active
G02,G02-A11,maintainer,active
G02,G02-A12,maintainer,active
G02,G02-A13,maintainer,active
G02,G02-A14,maintainer,active
G02,G02-A15,maintainer,active
G02,G02-A16,maintainer,active
G02,G02-A17,maintainer,active
G02,G02-A18,maintainer,active
G02,G02-A19,maintainer,active
G02,G02-A20,maintainer,active
G02,G02-A21,maintainer,active
G02,G02-A22,maintainer,active
G02,G02-A23,reporter,active
G02,G02-A24,maintainer,active
G02,G02-A25,reporter,active
G02,G02-A26,maintainer,active
G02,G02-A27,maintainer,active
G03,G03-A01,owner,active
G03,G03-A02,maintainer,active
G03,G03-A03,maintainer,active
G03,G03-A04,maintainer,active
G03,G03-A05,maintainer,active
G03,G03-A06,owner,active
G03,G03-A07,reporter,active
G03,G03-A08,maintainer,active
G03,G03-A09,maintainer,active
G03,G03-A10,reporter,active
G03,G03-A11,maintainer,active
G03,G03-A12,maintainer,active
G03,G03-A13,maintainer,active
G03,G03-A14,maintainer,active
G03,G03-A15,maintainer,active
G03,G03-A16,maintainer,active
G03,G03-A17,maintainer,active
G03,G03-A18,maintainer,active
G03,G03-A19,maintainer,active
G03,G03-A20,maintainer,active
G03,G03-A21,maintainer,active
G03,G03-A22,maintainer,active
G03,G03-A23,reporter,active
G03,G03-A24,maintainer,active
G03,G03-A25,reporter,active
G03,G03-A26,maintainer,active
G03,G03-A27,maintainer,active
