"sk_data","data","ano","trimestre","mes","nome_mes","dia","dia_semana_num","nome_dia_semana","eh_fim_de_semana"
"20220101","2022-01-01","2022","1","1","Janeiro","1","6","Sabado","1"
"20220102","2022-01-02","2022","1","1","Janeiro","2","0","Domingo","1"
"20220103","2022-01-03","2022","1","1","Janeiro","3","1","Segunda-feira","0"
"20220104","2022-01-04","2022","1","1","Janeiro","4","2","Terca-feira","0"
"20220105","2022-01-05","2022","1","1","Janeiro","5","3","Quarta-feira","0"
"20220106","2022-01-06","2022","1","1","Janeiro","6","4","Quinta-feira","0"
"20220107","2022-01-07","2022","1","1","Janeiro","7","5","Sexta-feira","0"
"20220108","2022-01-08","2022","1","1","Janeiro","8","6","Sabado","1"
"20220109","2022-01-09","2022","1","1","Janeiro","9","0","Domingo","1"
"20220110","2022-01-10","2022","1","1","Janeiro","10","1","Segunda-feira","0"
"20220111","2022-01-11","2022","1","1","Janeiro","11","2","Terca-feira","0"
"20220112","2022-01-12","2022","1","1","Janeiro","12","3","Quarta-feira","0"
"20220113","2022-01-13","2022","1","1","Janeiro","13","4","Quinta-feira","0"
"20220114","2022-01-14","2022","1","1","Janeiro","14","5","Sexta-feira","0"
"20220115","2022-01-15","2022","1","1","Janeiro","15","6","Sabado","1"
"20220116","2022-01-16","2022","1","1","Janeiro","16","0","Domingo","1"
"20220117","2022-01-17","2022","1","1","Janeiro","17","1","Segunda-feira","0"
"20220118","2022-01-18","2022","1","1","Janeiro","18","2","Terca-feira","0"
"20220119","2022-01-19","2022","1","1","Janeiro","19","3","Quarta-feira","0"
"20220120","2022-01-20","2022","1","1","Janeiro","20","4","Quinta-feira","0"
"20220121","2022-01-21","2022","1","1","Janeiro","21","5","Sexta-feira","0"
"20220122","2022-01-22","2022","1","1","Janeiro","22","6","Sabado","1"
"20220123","2022-01-23","2022","1","1","Janeiro","23","0","Domingo","1"
"20220124","2022-01-24","2022","1","1","Janeiro","24","1","Segunda-feira","0"
"20220125","2022-01-25","2022","1","1","Janeiro","25","2","Terca-feira","0"
"20220126","2022-01-26","2022","1","1","Janeiro","26","3","Quarta-feira","0"
"20220127","2022-01-27","2022","1","1","Janeiro","27","4","Quinta-feira","0"
"20220128","2022-01-28","2022","1","1","Janeiro","28","5","Sexta-feira","0"
"20220129","2022-01-29","2022","1","1","Janeiro","29","6","Sabado","1"
"20220130","2022-01-30","2022","1","1","Janeiro","30","0","Domingo","1"
"20220131","2022-01-31","2022","1","1","Janeiro","31","1","Segunda-feira","0"
"20220201","2022-02-01","2022","1","2","Fevereiro","1","2","Terca-feira","0"
"20220202","2022-02-02","2022","1","2","Fevereiro","2","3","Quarta-feira","0"
"20220203","2022-02-03","2022","1","2","Fevereiro","3","4","Quinta-feira","0"
"20220204","2022-02-04","2022","1","2","Fevereiro","4","5","Sexta-feira","0"
"20220205","2022-02-05","2022","1","2","Fevereiro","5","6","Sabado","1"
"20220206","2022-02-06","2022","1","2","Fevereiro","6","0","Domingo","1"
"20220207","2022-02-07","2022","1","2","Fevereiro","7","1","Segunda-feira","0"
"20220208","2022-02-08","2022","1","2","Fevereiro","8","2","Terca-feira","0"
"20220209","2022-02-09","2022","1","2","Fevereiro","9","3","Quarta-feira","0"
"20220210","2022-02-10","2022","1","2","Fevereiro","10","4","Quinta-feira","0"
