"sk_pessoa","pessoa_id","grupo","sk_grupo","papel","situacao","eh_placeholder"
"1","G01-A01","G01","1","owner","active","0"
"2","G01-A02","G01","1","maintainer","active","0"
"3","G01-A03","G01","1","maintainer","active","0"
"4","G01-A04","G01","1","maintainer","active","0"
"5","G01-A05","G01","1","maintainer","active","0"
"6","G01-A06","G01","1","owner","active","0"
"7","G01-A07","G01","1","reporter","active","0"
"8","G01-A08","G01","1","maintainer","active","0"
"9","G01-A09","G01","1","maintainer","active","0"
"10","G01-A10","G01","1","reporter","active","0"
"11","G01-A11","G01","1","maintainer","active","0"
"12","G01-A12","G01","1","maintainer","active","0"
"13","G01-A13","G01","1","maintainer","active","0"
"14","G01-A14","G01","1","maintainer","active","0"
"15","G01-A15","G01","1","maintainer","active","0"
"16","G01-A16","G01","1","maintainer","active","0"
"17","G01-A17","G01","1","maintainer","active","0"
"18","G01-A18","G01","1","maintainer","active","0"
"19","G01-A19","G01","1","maintainer","active","0"
"20","G01-A20","G01","1","maintainer","active","0"
"21","G01-A21","G01","1","maintainer","active","0"
"22","G01-A22","G01","1","reporter","active","0"
"23","G01-A23","G01","1","maintainer","active","0"
"24","G01-A24","G01","1","maintainer","active","0"
"25","G01-A25","G01","1","reporter","active","0"
"26","G01-A26","G01","1","guest","active","0"
"27","G01-A27","G01","1","maintainer","active","0"
"28","G01-A28","G01","1","maintainer","active","0"
"29","G01-A29","G01","1","maintainer","active","0"
"30","G02-A01","G02","2","owner","active","0"
"31","G02-A02","G02","2","maintainer","active","0"
"32","G02-A03","G02","2","maintainer","active","0"
"33","G02-A04","G02","2","maintainer","active","0"
"34","G02-A05","G02","2","maintainer","active","0"
"35","G02-A06","G02","2","owner","active","0"
"36","G02-A07","G02","2","reporter","active","0"
"37","G02-A08","G02","2","maintainer","active","0"
"38","G02-A09","G02","2","maintainer","active","0"
"39","G02-A10","G02","2","reporter","active","0"
"40","G02-A11","G02","2","maintainer","active","0"
"41","G02-A12","G02","2","maintainer","active","0"
"42","G02-A13","G02","2","maintainer","active","0"
"43","G02-A14","G02","2","maintainer","active","0"
"44","G02-A15","G02","2","maintainer","active","0"
"45","G02-A16","G02","2","maintainer","active","0"
"46","G02-A17","G02","2","maintainer","active","0"
"47","G02-A18","G02","2","maintainer","active","0"
"48","G02-A19","G02","2","maintainer","active","0"
"49","G02-A20","G02","2","maintainer","active","0"
"50","G02-A21","G02","2","maintainer","active","0"
"51","G02-A22","G02","2","maintainer","active","0"
"52","G02-A23","G02","2","reporter","active","0"
"53","G02-A24","G02","2","maintainer","active","0"
"54","G02-A25","G02","2","reporter","active","0"
"55","G02-A26","G02","2","maintainer","active","0"
"56","G02-A27","G02","2","maintainer","active","0"
"57","G03-A01","G03","3","owner","active","0"
"58","G03-A02","G03","3","maintainer","active","0"
"59","G03-A03","G03","3","maintainer","active","0"
"60","G03-A04","G03","3","maintainer","active","0"
"61","G03-A05","G03","3","maintainer","active","0"
"62","G03-A06","G03","3","owner","active","0"
"63","G03-A07","G03","3","reporter","active","0"
"64","G03-A08","G03","3","maintainer","active","0"
"65","G03-A09","G03","3","maintainer","active","0"
"66","G03-A10","G03","3","reporter","active","0"
"67","G03-A11","G03","3","maintainer","active","0"
"68","G03-A12","G03","3","maintainer","active","0"
"69","G03-A13","G03","3","maintainer","active","0"
"70","G03-A14","G03","3","maintainer","active","0"
"71","G03-A15","G03","3","maintainer","active","0"
"72","G03-A16","G03","3","maintainer","active","0"
"73","G03-A17","G03","3","maintainer","active","0"
"74","G03-A18","G03","3","maintainer","active","0"
"75","G03-A19","G03","3","maintainer","active","0"
"76","G03-A20","G03","3","maintainer","active","0"
"77","G03-A21","G03","3","maintainer","active","0"
"78","G03-A22","G03","3","maintainer","active","0"
"79","G03-A23","G03","3","reporter","active","0"
"80","G03-A24","G03","3","maintainer","active","0"
"81","G03-A25","G03","3","reporter","active","0"
"82","G03-A26","G03","3","maintainer","active","0"
"83","G03-A27","G03","3","maintainer","active","0"
"84","[bot]","(N/A)","-1","placeholder","","1"
"85","[externo]","(N/A)","-1","placeholder","","1"
