"sk_quadro_coluna","grupo","sk_grupo","quadro","posicao","coluna"
"1","G01","1","Scrum Board","0","Backlog"
"2","G01","1","Scrum Board","1","Doing"
"3","G01","1","Scrum Board","2","Waiting Review"
"4","G01","1","Scrum Board","3","Review"
"5","G02","2","Scrum Board","0","Backlog"
"6","G02","2","Scrum Board","1","Doing"
"7","G02","2","Scrum Board","2","Waiting Review"
"8","G02","2","Scrum Board","3","Review"
"9","G03","3","Scrum Board","0","Backlog"
"10","G03","3","Scrum Board","1","Doing"
"11","G03","3","Scrum Board","2","Waiting Review"
"12","G03","3","Scrum Board","3","Review"
"-1","(N/A)","-1","(n/a)","-1","(n/a)"
