"sk_sprint","grupo","sk_grupo","sprint","situacao","inicio_em","sk_data_inicio","prazo_em","sk_data_prazo"
"1","G01","1","Sprint 01","active","","-1","","-1"
"2","G01","1","Sprint 02","active","","-1","","-1"
"3","G01","1","Sprint 03","active","","-1","","-1"
"4","G01","1","Sprint 04","active","","-1","","-1"
"5","G01","1","Sprint 05","active","","-1","","-1"
"6","G02","2","Sprint 01","active","","-1","","-1"
"7","G02","2","Sprint 02","active","","-1","","-1"
"8","G02","2","Sprint 03","active","","-1","","-1"
"9","G02","2","Sprint 04","active","","-1","","-1"
"10","G02","2","Sprint 05","active","","-1","","-1"
"11","G03","3","Sprint 01","active","2026-04-22","20260422","2026-05-01","20260501"
"12","G03","3","Sprint 02","active","2026-05-04","20260504","2026-05-16","20260516"
"13","G03","3","Sprint 03","active","2026-05-18","20260518","2026-05-30","20260530"
"14","G03","3","Sprint 04","active","2026-06-01","20260601","2026-06-12","20260612"
"15","G03","3","Sprint 05","active","2026-06-15","20260615","2026-06-26","20260626"
"-1","(N/A)","-1","(sem sprint)","","","-1","","-1"
