"sk_grupo","sk_autor","sk_data_autorado","autorado_em","sk_data_commitado","commitado_em","e_merge","linhas_adicionadas","linhas_removidas","linhas_total","grupo","commit_id","titulo","mensagem"
"1","17","20260622","2026-06-22T15:50:27.000-03:00","20260622","2026-06-22T15:50:27.000-03:00","0","312","14","326","G01","00093b4f","feat(dashboard): criar dashboard base funcional #248","feat(dashboard): criar dashboard base funcional #248
"
"1","84","20260427","2026-04-27T15:52:22.000-03:00","20260427","2026-04-27T15:52:22.000-03:00","0","101","103","204","G01","000d6fbf","docs(wad): adiciona introdução e relação do value proposition canvas na seção 2.1.4 (#6)","docs(wad): adiciona introdução e relação do value proposition canvas na seção 2.1.4 (#6)
"
"1","15","20260625","2026-06-25T22:15:04.000-03:00","20260625","2026-06-25T22:15:04.000-03:00","1","87","2","89","G01","0039a276","Merge branch 'dev' of [url-institucional] into wad/corrige-coerencia-final/#254","Merge branch 'dev' of [url-institucional] into wad/corrige-coerencia-final/#254
"
"1","12","20260625","2026-06-25T20:34:43.000-03:00","20260625","2026-06-25T20:34:43.000-03:00","0","14","0","14","G01","00d0e116","docs: adiciona fotos da primeira rodada de testes (#291)","docs: adiciona fotos da primeira rodada de testes (#291)
"
"1","17","20260626","2026-06-26T10:23:08.000-03:00","20260626","2026-06-26T10:23:08.000-03:00","0","26","11","37","G01","01a12999","fix(npm): npm run dev funcionar (#304)","fix(npm): npm run dev funcionar (#304)
"
"1","85","20260428","2026-04-28T12:21:19.000+00:00","20260428","2026-04-28T12:21:19.000+00:00","1","97","2","99","G01","01b818f0","Merge branch 'doc/wad/Matriz-De-Riscos/#7' into 'main'","Merge branch 'doc/wad/Matriz-De-Riscos/#7' into 'main'

doc(wad): Matriz de Riscos

See merge request graduacao/2026-1b/t28/g01!6"
"1","17","20260609","2026-06-09T15:39:08.000-03:00","20260609","2026-06-09T15:39:08.000-03:00","0","160","0","160","G01","01bc9fc7","feat(inicio): adicionando front de inicio #197","feat(inicio): adicionando front de inicio #197
"
"1","85","20260527","2026-05-27T16:54:27.000-03:00","20260527","2026-05-27T16:54:27.000-03:00","0","121","774","895","G01","0239ac8e","feat(wad): correcao final pos feedback da sprint 1","feat(wad): correcao final pos feedback da sprint 1
"
"1","12","20260530","2026-05-30T01:10:13.000-03:00","20260530","2026-05-30T01:10:13.000-03:00","0","11","1","12","G01","027ee60f","docs(wad): preenche seção 3.4, guia de estilos #171","docs(wad): preenche seção 3.4, guia de estilos #171
"
"1","14","20260430","2026-04-30T05:29:42.000-03:00","20260430","2026-04-30T05:29:42.000-03:00","0","119","100","219","G01","02cde230","docs/wad: altera imagens do Use Case","docs/wad: altera imagens do Use Case
"
"1","62","20260419","2026-04-19T20:03:38.000-03:00","20260419","2026-04-19T20:03:38.000-03:00","0","6","0","6","G01","03172236","Inclusão das seções para testes de guerrilha (5.2.1) e testes SUS (5.2.2)","Inclusão das seções para testes de guerrilha (5.2.1) e testes SUS (5.2.2)"
"1","17","20260626","2026-06-26T14:20:02.000-03:00","20260626","2026-06-26T14:20:02.000-03:00","0","7457","7476","14933","G01","040f86b7","fix(wad): corrigir seção 5.2.5, 5.2.4 e 5.2.3 (#304)","fix(wad): corrigir seção 5.2.5, 5.2.4 e 5.2.3 (#304)
"
"1","17","20260611","2026-06-11T22:48:10.000-03:00","20260611","2026-06-11T22:48:10.000-03:00","0","2","1","3","G01","043459b5","feat(novo-cadastro): atualiza css de novo-cadastro #197","feat(novo-cadastro): atualiza css de novo-cadastro #197
"
"1","17","20260611","2026-06-11T23:32:49.000-03:00","20260611","2026-06-11T23:32:49.000-03:00","0","3","3","6","G01","0445af5c","feat(editar): adicionar icones na tela de editar #197","feat(editar): adicionar icones na tela de editar #197
"
"1","85","20260427","2026-04-27T14:42:55.000-03:00","20260427","2026-04-27T14:42:55.000-03:00","0","13","2","15","G01","04b2c166","docs(WAD): Adiciona a imagem e o texto da matriz swot na seção 2.1.2 #17","docs(WAD): Adiciona a imagem e o texto da matriz swot na seção 2.1.2 #17
"
"1","14","20260520","2026-05-20T17:47:19.000+00:00","20260520","2026-05-20T17:47:19.000+00:00","1","1745","636","2381","G01","04d4d107","Merge branch 'feat/testes-automatizados-ponderada' into 'main'","Merge branch 'feat/testes-automatizados-ponderada' into 'main'

Feat/testes automatizados ponderada

See merge request graduacao/2026-1b/t28/g01!41"
"1","15","20260623","2026-06-23T11:53:26.000-03:00","20260623","2026-06-23T11:53:26.000-03:00","0","82","107","189","G01","059d21de","docs: atualiza seções de RF, RN e RNF para o escopo final do MVP #262","docs: atualiza seções de RF, RN e RNF para o escopo final do MVP #262
"
