"sk_evento","sk_grupo","sk_pessoa","sk_quadro_coluna","sk_data_evento","ocorrido_em","grupo","cartao_numero","acao","tipo_evento","coluna"
"1","1","13","-1","20260422","2026-04-22T17:39:47.412Z","G01","1","add","rotulo","DOCUMENTATION"
"2","1","13","-1","20260422","2026-04-22T17:39:47.412Z","G01","1","add","rotulo","SIZE G"
"3","1","13","1","20260422","2026-04-22T17:40:46.797Z","G01","1","add","coluna","Backlog"
"4","1","13","-1","20260422","2026-04-22T17:49:21.492Z","G01","1","add","rotulo","NEGÓCIOS"
"5","1","13","1","20260422","2026-04-22T17:49:52.195Z","G01","1","remove","coluna","Backlog"
"6","1","13","-1","20260423","2026-04-23T17:50:23.417Z","G01","1","add","rotulo","BUG"
"7","1","16","-1","20260423","2026-04-23T17:50:41.653Z","G01","1","add","rotulo","ART.01"
"8","1","15","-1","20260502","2026-05-02T03:01:35.256Z","G01","1","remove","rotulo","SIZE G"
"9","1","15","-1","20260502","2026-05-02T03:01:41.360Z","G01","1","add","rotulo","P"
"10","1","14","-1","20260422","2026-04-22T17:39:50.859Z","G01","2","add","rotulo","DOCUMENTATION"
"11","1","14","-1","20260422","2026-04-22T17:42:10.048Z","G01","2","add","rotulo","G"
"12","1","14","-1","20260422","2026-04-22T17:42:10.048Z","G01","2","add","rotulo","M"
"13","1","14","-1","20260422","2026-04-22T17:42:10.048Z","G01","2","add","rotulo","P"
"14","1","14","-1","20260422","2026-04-22T17:42:10.048Z","G01","2","add","rotulo","PP"
"15","1","14","-1","20260422","2026-04-22T17:42:12.539Z","G01","2","remove","rotulo","PP"
"16","1","14","-1","20260422","2026-04-22T17:42:13.705Z","G01","2","remove","rotulo","P"
"17","1","14","-1","20260422","2026-04-22T17:42:14.788Z","G01","2","remove","rotulo","M"
"18","1","14","-1","20260422","2026-04-22T17:42:16.119Z","G01","2","remove","rotulo","G"
"19","1","14","-1","20260422","2026-04-22T17:43:20.522Z","G01","2","remove","rotulo","DOCUMENTATION"
"20","1","14","-1","20260422","2026-04-22T17:43:40.666Z","G01","2","add","rotulo","DOCUMENTATION"
"21","1","85","1","20260422","2026-04-22T17:53:03.363Z","G01","2","add","coluna","Backlog"
"22","1","85","-1","20260422","2026-04-22T17:53:15.071Z","G01","2","add","rotulo","M"
